resource_id,title,author,source,topic,reading_level,excerpt,keywords,language,format,summary,dictionary
RES-SCI-0001,A Brief History of Time,Stephen Hawking,Bantam Books,Science,High School,"A well-known scientist (some say it was Bertrand Russell) once gave a public lecture on astronomy. He described how the earth orbits around the sun and how the sun, in turn, orbits around the center of a vast collection of stars called our galaxy.","physics, cosmology, space, black holes, time, hawking",English,PDF,"An landmark book by physicist Stephen Hawking that explains complex concepts of cosmology, including the Big Bang, black holes, and light cones, to non-specialist readers.","{""astronomy"": ""The branch of science that deals with celestial objects, space, and the physical universe."", ""galaxy"": ""A system of millions or billions of stars, together with gas and dust, held together by gravitational attraction."", ""orbits"": ""Moves in a curved path around a star, planet, or moon.""}"
RES-SCI-0002,The Origin of Species,Charles Darwin,John Murray Publishing,Science,Academic,"When on board H.M.S. 'Beagle,' as naturalist, I was much struck with certain facts in the distribution of the organic beings inhabiting South America, and in the geological relations of the present to the past inhabitants of that continent.","biology, evolution, natural selection, genetics, science, darwin",English,EPUB,"Charles Darwin's seminal work introducing the scientific theory of evolution by natural selection, which serves as the foundation of modern evolutionary biology.","{""naturalist"": ""An expert in or student of natural history, typically studying plants and animals."", ""geological"": ""Relating to the study of the Earth's physical structure, substance, history, and the processes that act on it."", ""inhabiting"": ""Living or residing in a particular place.""}"
RES-SCI-0003,Cosmos,Carl Sagan,Random House,Science,High School,"The Cosmos is all that is or was or ever will be. Our feeblest contemplations of the Cosmos stir us—there is a tingling in the spine, a catch in the voice, a faint sensation, as if a distant memory, of falling from a height.","astronomy, space, science, cosmos, human-history, sagan",English,PDF,"Carl Sagan explores the universe, the history of science, and the human search for our place in the cosmos, highlighting the interconnection of science, philosophy, and history.","{""cosmos"": ""The universe seen as a well-ordered whole."", ""contemplations"": ""The action of looking thoughtfully at something for a long time."", ""sensation"": ""A physical feeling or perception resulting from something that happens to or comes into contact with the body.""}"
RES-SCI-0004,The Selfish Gene,Richard Dawkins,Oxford University Press,Science,High School,We are survival machines—robot vehicles blindly programmed to preserve the selfish molecules known as genes. This is a truth which still fills me with astonishment.,"biology, evolution, genetics, science, dawkins",English,EPUB,"Richard Dawkins introduces the gene-centered view of evolution, explaining how genes use organisms as vehicles to replicate themselves, and introduces the term 'meme'.","{""molecules"": ""Groups of atoms bonded together, representing the smallest fundamental unit of a chemical compound."", ""preserve"": ""Maintain something in its original or existing state."", ""astonishment"": ""Great surprise or wonder.""}"
RES-SCI-0005,The Double Helix,James D. Watson,Atheneum Books,Science,High School,"I have never seen Francis Crick in a modest mood. Perhaps in other company he is that way, but I have never had reason to believe it. He is a person who talks rapidly, has an loud voice, and who dominates the conversation.","biology, genetics, science, dna, history-of-science, watson",English,PDF,"An autobiographical account of the discovery of the double helix structure of DNA by James Watson and Francis Crick, detailing the personal and academic rivalry behind the breakthrough.","{""modest"": ""Unassuming or moderate in the estimation of one's abilities or achievements."", ""dominates"": ""Have a commanding influence on; exercise control over.""}"
RES-SCI-0006,Silent Spring,Rachel Carson,Houghton Mifflin,Science,High School,"There was once a town in the heart of America where all life seemed to live in harmony with its surroundings. The town lay in the midst of a checkerboard of prosperous farms, with fields of grain and hillsides of orchards.","ecology, environment, science, conservation, pesticide, carson",English,EPUB,"A landmark environmental science book detailing the adverse effects of indiscriminate pesticide use on the ecosystem, which helped launch the modern environmental movement.","{""harmony"": ""Agreement or concord; living peacefully together."", ""prosperous"": ""Successful in material terms; flourishing financially."", ""orchards"": ""A piece of land planted with fruit trees.""}"
RES-HIS-0007,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Harvill Secker,History,High School,"About 13.5 billion years ago, matter, energy, time and space came into being in what is known as the Big Bang. The story of these fundamental features of our universe is called physics.","anthropology, evolution, history, humans, society, harari",English,EPUB,"Yuval Noah Harari surveys the history of humankind from the evolutionary origins of Homo sapiens to the present day, focusing on the cognitive, agricultural, and scientific revolutions.","{""fundamental"": ""Forming a necessary base or core; of central importance."", ""evolutionary"": ""Relating to the gradual development of something.""}"
RES-HIS-0008,"Guns, Germs, and Steel",Jared Diamond,W. W. Norton & Company,History,Academic,"We all know that history has proceeded very differently for peoples from different parts of the world. In the 13,000 years since the end of the last Ice Age, some parts of the world developed literate industrial societies with metal tools.","geography, history, civilizations, inequality, agriculture, science",English,PDF,"Jared Diamond argues that geographical and environmental factors, rather than genetic differences, shaped the modern world and the unequal development of human societies.","{""proceeded"": ""Began a course of action or moved forward."", ""literate"": ""Able to read and write.""}"
RES-HIS-0009,A People's History of the United States,Howard Zinn,Harper & Row,History,Academic,"Arawak men and women, naked, tawny, and full of wonder, emerged from their villages onto the island's beaches and swam out to get a closer look at the strange big boat.","history, america, social-movements, labor, colonization",English,EPUB,"Howard Zinn re-examines American history from the perspective of marginalized groups, including Native Americans, slaves, women, and workers, rather than political elites.","{""tawny"": ""An orange-brown or yellowish-brown color."", ""emerged"": ""Move out of or away from something and become visible.""}"
RES-HIS-0010,The Rise and Fall of the Third Reich,William L. Shirer,Simon & Schuster,History,Academic,"The birth of the Third Reich, which was to last a thousand years but which survived for only twelve, occurred on the afternoon of January 30, 1933, when Adolf Hitler was sworn in as Chancellor of Germany.","history, ww2, germany, hitler, fascism",English,PDF,"A detailed history of Nazi Germany from its origins to its defeat in World War II, based on captured German archives and personal observations.","{""reich"": ""The German state or empire, especially the Weimar Republic or the Third Reich."", ""chancellor"": ""The head of the government in some European countries, such as Germany.""}"
RES-HIS-0011,The Diary of a Young Girl,Anne Frank,Contact Publishing,History,Middle School,"I hope I will be able to confide everything to you, as I have never been able to confide in anyone, and I hope you will be a great source of comfort and support.","biography, diary, holocaust, ww2, history, anne-frank",English,TXT,"The personal diary of Anne Frank, a Jewish girl who went into hiding with her family during the Nazi occupation of the Netherlands in World War II.","{""confide"": ""Tell someone about a secret or private matter while trusting them not to repeat it to others.""}"
RES-PHI-0012,The Republic,Plato,Cambridge University Press,Philosophy,Academic,"I went down yesterday to the Piraeus with Glaucon the son of Ariston, that I might offer up my prayers to the goddess; and also because I wanted to see in what manner they would celebrate the festival, which was a new thing.","philosophy, justice, politics, greece, classical, plato",English,EPUB,"Plato's classic Socratic dialogue concerning justice, the order and character of the just city-state, and the nature of the philosopher king.","{""piraeus"": ""The port city of Athens in ancient Greece."", ""celebrate"": ""Acknowledge a significant or happy day or event with a social gathering.""}"
RES-PHI-0013,Meditations,Marcus Aurelius,Oxford University Press,Philosophy,High School,"From my grandfather Verus I learned good morals and the government of my temper. From the reputation and memory of my father, modesty and a manly character. From my mother, piety and beneficence.","philosophy, stoicism, rome, self-discipline, wisdom",English,TXT,"A series of personal writings by the Roman Emperor Marcus Aurelius, offering Stoic philosophy and practical guidance on self-discipline, duty, and resilience.","{""piety"": ""The quality of being religious or reverent."", ""beneficence"": ""The quality of doing good or showing active kindness.""}"
RES-PHI-0014,Beyond Good and Evil,Friedrich Nietzsche,C. G. Naumann,Philosophy,Academic,"Supposing that Truth is a woman—what then? Is there not ground for suspecting that all philosophers, in so far as they have been dogmatists, have failed to understand women—that the terrible seriousness and clumsy importunity with which they have usually paid their addresses to Truth, have been unskilled and unseemly methods for winning a woman?","philosophy, morality, psychology, existentialism, nietzsche",English,PDF,"Friedrich Nietzsche critiques traditional morality and Western philosophy, advocating for the 'free spirit' and introducing concepts like the will to power.","{""dogmatists"": ""People who lay down principles as incontrovertibly true, without consideration of evidence."", ""importunity"": ""Persistence in requesting or demanding, especially to the point of annoyance.""}"
RES-PHI-0015,Critique of Pure Reason,Immanuel Kant,Johann Friedrich Hartknoch,Philosophy,Academic,"Human reason has this peculiar fate that in one species of its knowledge it is burdened by questions which, as prescribed by the very nature of reason itself, it is not able to ignore, but which, as transcending all its powers, it is also not able to answer.","philosophy, epistemology, metaphysics, rationalism, kant",English,PDF,Immanuel Kant's foundational philosophical work investigating the limits and scope of human understanding and the relationship between rationalism and empiricism.,"{""prescribed"": ""State authoritatively as a rule that should be carried out."", ""transcending"": ""Going beyond the range or limits of.""}"
RES-PHI-0016,The Prince,Niccolò Machiavelli,Antonio Blado d'Asola,Philosophy,High School,"It is customary for those who wish to gain the favour of a prince to present themselves before him with those things which they value most, or in which they perceive him to take most delight.","philosophy, political-theory, renaissance, leadership, machiavelli",English,PDF,"A 16th-century political treatise offering pragmatic, sometimes ruthless advice to rulers on how to acquire and maintain political power.","{""customary"": ""According to the customs or usual practices associated with a particular society, place, or set of circumstances."", ""delight"": ""Great pleasure.""}"
RES-FIC-0017,1984,George Orwell,Secker & Warburg,Fiction,High School,"It was a bright cold day in April, and the clocks were striking thirteen. Winston Smith, his chin nuzzled into his breast in an effort to escape the vile wind, slipped quickly through the glass doors of Victory Mansions.","literature, dystopia, political-fiction, surveillance, orwell",English,PDF,"A dystopian novel depicting a totalitarian regime led by Big Brother, exploring themes of mass surveillance, censorship, and the manipulation of truth and language.","{""nuzzled"": ""Leaned or rubbed against gently."", ""vile"": ""Extremely unpleasant or bad.""}"
RES-FIC-0018,To Kill a Mockingbird,Harper Lee,J. B. Lippincott & Co.,Fiction,Middle School,"When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow. When it healed, and Jem's fears of never being able to play football were assuaged, he was seldom self-conscious about his injury.","novel, classics, justice, racism, coming-of-age, harper-lee",English,EPUB,"Set in the American South, this novel follows young Scout Finch and her lawyer father Atticus as they confront racial injustice and the loss of innocence in their small town.","{""assuaged"": ""Made an unpleasant feeling less intense.""}"
